time,trial,condition,distance,shift_x,shift_y,start_x,start_y,cursor_x,cursor_y,target_x,target_y
229795.0,98,12,12,105,-105,585,435,627,435,597,435
229811.0,98,12,12,105,-105,585,435,627,435,597,435
229828.0,98,12,12,105,-105,585,435,627,435,597,435
229845.0,98,12,12,105,-105,585,435,627,435,597,435
229861.0,98,12,12,105,-105,585,435,627,435,597,435
229877.0,98,12,12,105,-105,585,435,625,435,597,435
229895.0,98,12,12,105,-105,585,435,620,436,597,435
229911.0,98,12,12,105,-105,585,435,612,438,597,435
229928.0,98,12,12,105,-105,585,435,605,441,597,435
229944.0,98,12,12,105,-105,585,435,599,442,597,435
229962.0,98,12,12,105,-105,585,435,595,443,597,435
229979.0,98,12,12,105,-105,585,435,594,443,597,435
229995.0,98,12,12,105,-105,585,435,593,443,597,435
230011.0,98,12,12,105,-105,585,435,592,442,597,435
230028.0,98,12,12,105,-105,585,435,591,442,597,435
230044.0,98,12,12,105,-105,585,435,589,441,597,435
230060.0,98,12,12,105,-105,585,435,586,438,597,435
230078.0,98,12,12,105,-105,585,435,584,437,597,435
230095.0,98,12,12,105,-105,585,435,584,436,597,435
230111.0,98,12,12,105,-105,585,435,584,436,597,435
230127.0,98,12,12,105,-105,585,435,584,436,597,435
230145.0,98,12,12,105,-105,585,435,584,436,597,435
230162.0,98,12,12,105,-105,585,435,584,436,597,435
230179.0,98,12,12,105,-105,585,435,584,436,597,435
230195.0,98,12,12,105,-105,585,435,584,436,597,435
230212.0,98,12,12,105,-105,585,435,584,436,597,435
230229.0,98,12,12,105,-105,585,435,584,436,597,435
230244.0,98,12,12,105,-105,585,435,584,436,597,435
230261.0,98,12,12,105,-105,585,435,584,436,597,435
230278.0,98,12,12,105,-105,585,435,584,436,597,435
230294.0,98,12,12,105,-105,585,435,584,436,597,435
230312.0,98,12,12,105,-105,585,435,584,436,597,435
230328.0,98,12,12,105,-105,585,435,584,436,597,435
230345.0,98,12,12,105,-105,585,435,584,436,597,435
230362.0,98,12,12,105,-105,585,435,584,436,597,435
230378.0,98,12,12,105,-105,585,435,586,436,597,435
230396.0,98,12,12,105,-105,585,435,588,436,597,435
230411.0,98,12,12,105,-105,585,435,592,436,597,435
230428.0,98,12,12,105,-105,585,435,594,435,597,435
230445.0,98,12,12,105,-105,585,435,597,435,597,435
230461.0,98,12,12,105,-105,585,435,597,435,597,435
230477.0,98,12,12,105,-105,585,435,597,435,597,435
230496.0,98,12,12,105,-105,585,435,598,435,597,435
230511.0,98,12,12,105,-105,585,435,598,435,597,435
230528.0,98,12,12,105,-105,585,435,598,435,597,435
230543.0,98,12,12,105,-105,585,435,598,435,597,435
230563.0,98,12,12,105,-105,585,435,598,435,597,435
230577.0,99,353,12,105,-105,585,435,598,435,597,435
230596.0,99,353,583,-105,-105,375,435,598,435,958,435
230611.0,99,353,583,-105,-105,375,435,598,435,958,435
230629.0,99,353,583,-105,-105,375,435,598,435,958,435
230645.0,99,353,583,-105,-105,375,435,598,435,958,435
230662.0,99,353,583,-105,-105,375,435,598,435,958,435
230678.0,99,353,583,-105,-105,375,435,598,435,958,435
230695.0,99,353,583,-105,-105,375,435,598,435,958,435
230712.0,99,353,583,-105,-105,375,435,598,435,958,435
230728.0,99,353,583,-105,-105,375,435,598,435,958,435
230745.0,99,353,583,-105,-105,375,435,598,435,958,435
230762.0,99,353,583,-105,-105,375,435,598,435,958,435
230778.0,99,353,583,-105,-105,375,435,598,435,958,435
230795.0,99,353,583,-105,-105,375,435,597,435,958,435
230812.0,99,353,583,-105,-105,375,435,596,435,958,435
230827.0,99,353,583,-105,-105,375,435,594,435,958,435
230845.0,99,353,583,-105,-105,375,435,592,435,958,435
230861.0,99,353,583,-105,-105,375,435,589,435,958,435
230878.0,99,353,583,-105,-105,375,435,588,435,958,435
230894.0,99,353,583,-105,-105,375,435,586,435,958,435
230911.0,99,353,583,-105,-105,375,435,583,434,958,435
230928.0,99,353,583,-105,-105,375,435,570,434,958,435
230944.0,99,353,583,-105,-105,375,435,550,434,958,435
230962.0,99,353,583,-105,-105,375,435,527,437,958,435
230978.0,99,353,583,-105,-105,375,435,500,441,958,435
230995.0,99,353,583,-105,-105,375,435,474,444,958,435
231011.0,99,353,583,-105,-105,375,435,458,445,958,435
231028.0,99,353,583,-105,-105,375,435,452,445,958,435
231045.0,99,353,583,-105,-105,375,435,448,445,958,435
231061.0,99,353,583,-105,-105,375,435,446,444,958,435
231078.0,99,353,583,-105,-105,375,435,443,443,958,435
231095.0,99,353,583,-105,-105,375,435,438,443,958,435
231111.0,99,353,583,-105,-105,375,435,432,442,958,435
231128.0,99,353,583,-105,-105,375,435,426,440,958,435
231144.0,99,353,583,-105,-105,375,435,420,437,958,435
231161.0,99,353,583,-105,-105,375,435,416,435,958,435
231179.0,99,353,583,-105,-105,375,435,410,433,958,435
231195.0,99,353,583,-105,-105,375,435,401,431,958,435
231211.0,99,353,583,-105,-105,375,435,390,429,958,435
231229.0,99,353,583,-105,-105,375,435,382,429,958,435
231245.0,99,353,583,-105,-105,375,435,375,429,958,435
231261.0,99,353,583,-105,-105,375,435,375,429,958,435
231279.0,99,353,583,-105,-105,375,435,375,429,958,435
231295.0,99,353,583,-105,-105,375,435,375,429,958,435
231311.0,99,353,583,-105,-105,375,435,375,429,958,435
231328.0,99,353,583,-105,-105,375,435,373,429,958,435
231345.0,99,353,583,-105,-105,375,435,372,429,958,435
231361.0,99,353,583,-105,-105,375,435,372,429,958,435
231378.0,99,353,583,-105,-105,375,435,372,429,958,435
231394.0,99,353,583,-105,-105,375,435,372,429,958,435
231412.0,99,353,583,-105,-105,375,435,372,429,958,435
231428.0,99,353,583,-105,-105,375,435,372,429,958,435
231444.0,99,353,583,-105,-105,375,435,373,430,958,435
231461.0,99,353,583,-105,-105,375,435,373,431,958,435
231478.0,99,353,583,-105,-105,375,435,374,432,958,435
231495.0,99,353,583,-105,-105,375,435,374,433,958,435
231512.0,99,353,583,-105,-105,375,435,375,434,958,435
231528.0,99,353,583,-105,-105,375,435,375,434,958,435
231544.0,99,353,583,-105,-105,375,435,375,434,958,435
231563.0,99,353,583,-105,-105,375,435,375,434,958,435
231578.0,99,353,583,-105,-105,375,435,375,434,958,435
231595.0,99,353,583,-105,-105,375,435,375,434,958,435
231611.0,99,353,583,-105,-105,375,435,375,434,958,435
231628.0,99,353,583,-105,-105,375,435,375,434,958,435
231646.0,99,353,583,-105,-105,375,435,375,434,958,435
231661.0,99,353,583,-105,-105,375,435,375,434,958,435
231678.0,99,353,583,-105,-105,375,435,375,434,958,435
231695.0,99,353,583,-105,-105,375,435,375,434,958,435
231711.0,99,353,583,-105,-105,375,435,375,434,958,435
231729.0,99,353,583,-105,-105,375,435,375,434,958,435
231744.0,99,353,583,-105,-105,375,435,375,434,958,435
231762.0,99,353,583,-105,-105,375,435,375,434,958,435
231778.0,99,353,583,-105,-105,375,435,375,434,958,435
231795.0,99,353,583,-105,-105,375,435,375,434,958,435
231811.0,99,353,583,-105,-105,375,435,375,434,958,435
231829.0,99,353,583,-105,-105,375,435,375,434,958,435
231844.0,99,353,583,-105,-105,375,435,375,434,958,435
231861.0,99,353,583,-105,-105,375,435,376,434,958,435
231878.0,99,353,583,-105,-105,375,435,384,434,958,435
231895.0,99,353,583,-105,-105,375,435,402,434,958,435
231911.0,99,353,583,-105,-105,375,435,434,434,958,435
231927.0,99,353,583,-105,-105,375,435,487,433,958,435
231945.0,99,353,583,-105,-105,375,435,557,432,958,435
231962.0,99,353,583,-105,-105,375,435,632,430,958,435
231978.0,99,353,583,-105,-105,375,435,703,429,958,435
231994.0,99,353,583,-105,-105,375,435,762,429,958,435
232011.0,99,353,583,-105,-105,375,435,807,430,958,435
232028.0,99,353,583,-105,-105,375,435,839,431,958,435
232045.0,99,353,583,-105,-105,375,435,855,432,958,435
232061.0,99,353,583,-105,-105,375,435,855,432,958,435
232078.0,99,353,583,-105,-105,375,435,855,432,958,435
232095.0,99,353,583,-105,-105,375,435,855,432,958,435
232112.0,100,194,583,-105,-105,375,435,855,432,958,435
232128.0,100,194,183,-105,-105,375,435,855,432,558,435
232145.0,100,194,183,-105,-105,375,435,855,432,558,435
232160.0,100,194,183,-105,-105,375,435,855,432,558,435
232179.0,100,194,183,-105,-105,375,435,855,432,558,435
232195.0,100,194,183,-105,-105,375,435,855,432,558,435
232211.0,100,194,183,-105,-105,375,435,855,432,558,435
232228.0,100,194,183,-105,-105,375,435,855,432,558,435
232245.0,100,194,183,-105,-105,375,435,855,432,558,435
232262.0,100,194,183,-105,-105,375,435,855,432,558,435
232278.0,100,194,183,-105,-105,375,435,855,432,558,435
232295.0,100,194,183,-105,-105,375,435,855,432,558,435
232312.0,100,194,183,-105,-105,375,435,855,432,558,435
232329.0,100,194,183,-105,-105,375,435,855,432,558,435
232345.0,100,194,183,-105,-105,375,435,855,432,558,435
232362.0,100,194,183,-105,-105,375,435,855,432,558,435
232377.0,100,194,183,-105,-105,375,435,855,432,558,435
232395.0,100,194,183,-105,-105,375,435,855,432,558,435
232411.0,100,194,183,-105,-105,375,435,855,432,558,435
232428.0,100,194,183,-105,-105,375,435,855,432,558,435
232445.0,100,194,183,-105,-105,375,435,855,432,558,435
232461.0,100,194,183,-105,-105,375,435,854,433,558,435
232478.0,100,194,183,-105,-105,375,435,846,435,558,435
232495.0,100,194,183,-105,-105,375,435,820,439,558,435
232512.0,100,194,183,-105,-105,375,435,781,443,558,435
232528.0,100,194,183,-105,-105,375,435,729,445,558,435
232544.0,100,194,183,-105,-105,375,435,672,447,558,435
232561.0,100,194,183,-105,-105,375,435,624,447,558,435
232578.0,100,194,183,-105,-105,375,435,583,447,558,435
232595.0,100,194,183,-105,-105,375,435,549,445,558,435
232612.0,100,194,183,-105,-105,375,435,520,445,558,435
232628.0,100,194,183,-105,-105,375,435,482,446,558,435
232644.0,100,194,183,-105,-105,375,435,462,448,558,435
232661.0,100,194,183,-105,-105,375,435,450,450,558,435
232678.0,100,194,183,-105,-105,375,435,444,450,558,435
232694.0,100,194,183,-105,-105,375,435,440,451,558,435
232711.0,100,194,183,-105,-105,375,435,434,452,558,435
232728.0,100,194,183,-105,-105,375,435,427,452,558,435
232744.0,100,194,183,-105,-105,375,435,418,453,558,435
232762.0,100,194,183,-105,-105,375,435,409,453,558,435
232778.0,100,194,183,-105,-105,375,435,401,453,558,435
232795.0,100,194,183,-105,-105,375,435,392,452,558,435
232812.0,100,194,183,-105,-105,375,435,385,450,558,435
232828.0,100,194,183,-105,-105,375,435,382,449,558,435
232844.0,100,194,183,-105,-105,375,435,382,448,558,435
232861.0,100,194,183,-105,-105,375,435,382,446,558,435
232878.0,100,194,183,-105,-105,375,435,382,444,558,435
232894.0,100,194,183,-105,-105,375,435,381,442,558,435
232910.0,100,194,183,-105,-105,375,435,381,442,558,435
232928.0,100,194,183,-105,-105,375,435,381,441,558,435
